symbol,ann_returns,ann_vol,ann_daily_variation,ann_max_drawdown,sharpe_ratio,beta,clusters
A,0.0840026846852936,0.12161458241526812,0.18563197754793406,0.12821483104089684,0.6881862048135177,0.5111938960896031,0
AAL,0.02817034606492444,0.2748437083932843,0.3559514630299109,0.5662047070011481,0.22005141410547308,0.6163872634427153,1
AAP,0.009471376619566707,0.24938087884580767,0.30848660353115887,0.5327139051855211,0.3596840779504892,0.32130354763112623,2
AAPL,0.14533319782178486,0.1415923944608291,0.18004694586803838,0.3464038135840789,0.8456953965375916,0.5828593060715547,0
ABBV,0.09714357048446084,0.17872433688347833,0.24519306297304824,0.4229489549213571,0.5811404854319335,0.4040755758979422,2
ABC,0.03065824157905636,0.17878402776434116,0.29261041806471133,0.2676827899184636,0.40264161944424814,0.3671725609449365,2
ABT,0.1230114749615692,0.07020697701233822,0.16305900718534624,0.034482222244112015,0.8879661790543861,0.4241088512620903,0
ACGL,0.05088663139446231,0.047513798034062416,0.17113154643653705,0.21615101929885855,0.6407007029502139,0.33920168456069405,0
ACN,0.085452970301161,0.059173753255485795,0.1392418291791898,0.1606217287552535,0.7755834900617669,0.40557052049958753,0
ADBE,0.1804998059836241,0.17936569883080555,0.2360174799993409,0.19518612274605235,0.8770865797669879,0.5370419641032474,0
ADI,0.076732605489854,0.15573889166039567,0.23475124901248953,0.16985467778777047,0.6249811071139793,0.6249395554618071,0
ADM,0.019129970813189734,0.07144197145826323,0.1734072014396893,0.21549753508238184,0.41350040598415394,0.37982380630111157,2
ADP,0.07277055738227883,0.08419411398227888,0.16809592864514156,0.12138383764604566,0.6906265324065384,0.4323660441592646,0
ADSK,0.12803866222956475,0.2605287236234286,0.30325243055111073,0.18591490586113346,0.6954361483037641,0.6093464481437615,0
AEE,0.06393797215217825,0.0188510002052949,0.14349467357557152,0.10664708041152182,0.7155354470808626,0.1376773153484111,0
AEP,0.06524202866375142,0.007826387944036367,0.1311560028394399,0.10243335071019577,0.7701174179469621,0.1083825921050286,0
AES,0.08657204637592028,0.1154389420720709,0.2209273183972504,0.12335838929942239,0.7047096650431418,0.29467537621883666,0
AFL,0.06937236278406789,0.029297130851862724,0.12747420751281824,0.06741614217218539,0.7165289432545345,0.30901053299492875,0
AIG,0.0038149456502174217,0.1000233719911004,0.18945291209819984,0.3978102341030348,0.26848824478323546,0.43886000934770664,2
AIZ,0.05104050556054704,0.08569297823020527,0.18928017888008544,0.17972117431222856,0.602355406713406,0.32792969321670873,0
